"Issue #","Issue Name","Meeting","Status","First released version","GitHub issue","Notes"
"[LWG4485](https://wg21.link/LWG4485)","Move specification for `task::stop_token_type`","2026-03 (Croydon)","","","[#189848](https://github.com/llvm/llvm-project/issues/189848)",""
"[LWG4486](https://wg21.link/LWG4486)","`integral-constant-like` and `constexpr-wrapper-like` exposition-only concept duplication","2026-03 (Croydon)","","","[#189849](https://github.com/llvm/llvm-project/issues/189849)",""
"[LWG4491](https://wg21.link/LWG4491)","Rename `submdspan_extents` and `submdspan_canonicalize_slices`","2026-03 (Croydon)","","","[#189850](https://github.com/llvm/llvm-project/issues/189850)",""
"[LWG4492](https://wg21.link/LWG4492)","`std::generate` and `std::ranges::generate` wording is unclear for parallel algorithms","2026-03 (Croydon)","","","[#189851](https://github.com/llvm/llvm-project/issues/189851)",""
"[LWG4493](https://wg21.link/LWG4493)","Specification for some functions of bit reference types seems missing","2026-03 (Croydon)","","","[#189852](https://github.com/llvm/llvm-project/issues/189852)",""
"[LWG4496](https://wg21.link/LWG4496)","Precedes vs Reachable in [meta.reflection]","2026-03 (Croydon)","","","[#189853](https://github.com/llvm/llvm-project/issues/189853)",""
"[LWG4497](https://wg21.link/LWG4497)","`std::nullopt_t` should be comparable","2026-03 (Croydon)","{{Complete}}","24","[#189854](https://github.com/llvm/llvm-project/issues/189854)",""
"[LWG4499](https://wg21.link/LWG4499)","`flat_set::insert_range` specification may be problematic","2026-03 (Croydon)","","","[#189855](https://github.com/llvm/llvm-project/issues/189855)",""
"[LWG4500](https://wg21.link/LWG4500)","`constant_wrapper` wording problems","2026-03 (Croydon)","{{Complete}}","23","[#189856](https://github.com/llvm/llvm-project/issues/189856)",""
"[LWG4504](https://wg21.link/LWG4504)","Wording problem in `{simple_}counting_scope`","2026-03 (Croydon)","","","[#189857](https://github.com/llvm/llvm-project/issues/189857)",""
"[LWG4506](https://wg21.link/LWG4506)","`source_location` is explicitly unspecified if is constexpr or not","2026-03 (Croydon)","","","[#189858](https://github.com/llvm/llvm-project/issues/189858)",""
"[LWG4510](https://wg21.link/LWG4510)","Ambiguity of `std::ranges::advance` and `std::ranges::next` when the difference type is also a sentinel type","2026-03 (Croydon)","","","[#189859](https://github.com/llvm/llvm-project/issues/189859)",""
"[LWG4511](https://wg21.link/LWG4511)","Inconsistency between the deduction guide of `std::mdspan` taking `(data_handle_type, mapping_type, accessor_type)` and the corresponding constructor","2026-03 (Croydon)","{{Complete}}","18","[#189860](https://github.com/llvm/llvm-project/issues/189860)",""
"[LWG4512](https://wg21.link/LWG4512)","The `system_encoded_string()` and `generic_system_encoded_string()` member functions of `std::filesystem::path` are misnamed","2026-03 (Croydon)","","","[#189861](https://github.com/llvm/llvm-project/issues/189861)",""
"[LWG4514](https://wg21.link/LWG4514)","Missing absolute value of `init` in `vector_two_norm` and `matrix_frob_norm`","2026-03 (Croydon)","","","[#189862](https://github.com/llvm/llvm-project/issues/189862)",""
"[LWG4517](https://wg21.link/LWG4517)","`data_member_spec` should throw for *cv*-qualified unnamed bit-fields","2026-03 (Croydon)","","","[#189863](https://github.com/llvm/llvm-project/issues/189863)",""
"[LWG4522](https://wg21.link/LWG4522)","Clarify that `std::format` transcodes for `std::wformat_string`s","2026-03 (Croydon)","","","[#189864](https://github.com/llvm/llvm-project/issues/189864)",""
"[LWG4523](https://wg21.link/LWG4523)","`constant_wrapper` should assign to value","2026-03 (Croydon)","{{Complete}}","23","[#189865](https://github.com/llvm/llvm-project/issues/189865)",""
"[LWG4525](https://wg21.link/LWG4525)","`task`'s `final_suspend` should move the result","2026-03 (Croydon)","","","[#189866](https://github.com/llvm/llvm-project/issues/189866)",""
"[LWG4527](https://wg21.link/LWG4527)","`await_transform` needs to use `as_awaitable`","2026-03 (Croydon)","","","[#189867](https://github.com/llvm/llvm-project/issues/189867)",""
"[LWG4528](https://wg21.link/LWG4528)","`task` needs `get_completion_signatures()`","2026-03 (Croydon)","","","[#189868](https://github.com/llvm/llvm-project/issues/189868)",""
"[LWG4529](https://wg21.link/LWG4529)","`task::promise_type::await_transform` declaration and definition mismatch","2026-03 (Croydon)","","","[#189869](https://github.com/llvm/llvm-project/issues/189869)",""
"[LWG4532](https://wg21.link/LWG4532)","Imprecise `std::polymorphic` wording seems to imply slicing","2026-03 (Croydon)","","","[#189870](https://github.com/llvm/llvm-project/issues/189870)",""
"[LWG4533](https://wg21.link/LWG4533)","`not_fn<f>` is unimplementable","2026-03 (Croydon)","","","[#189871](https://github.com/llvm/llvm-project/issues/189871)",""
"[LWG4535](https://wg21.link/LWG4535)","Disallow user specialization of `<simd>` templates","2026-03 (Croydon)","","","[#189872](https://github.com/llvm/llvm-project/issues/189872)",""
"[LWG4536](https://wg21.link/LWG4536)","Type traits have inconsistent interactions with immediate functions","2026-03 (Croydon)","","","[#189873](https://github.com/llvm/llvm-project/issues/189873)",""
"[LWG4537](https://wg21.link/LWG4537)","Improve `define_static_array`","2026-03 (Croydon)","","","[#189874](https://github.com/llvm/llvm-project/issues/189874)",""
"[LWG4540](https://wg21.link/LWG4540)","`future-sender`s returned from `spawn_future` do not forward stop requests to spawned work","2026-03 (Croydon)","","","[#189875](https://github.com/llvm/llvm-project/issues/189875)",""
"[LWG4544](https://wg21.link/LWG4544)","Parallel overload of `ranges::set_difference` should return `in_in_out_result`","2026-03 (Croydon)","","","[#189876](https://github.com/llvm/llvm-project/issues/189876)",""
"[LWG4548](https://wg21.link/LWG4548)","Parallel `ranges::set_intersection` should not do unnecessary work","2026-03 (Croydon)","","","[#189877](https://github.com/llvm/llvm-project/issues/189877)",""
"[LWG4549](https://wg21.link/LWG4549)","`vprint_nonunicode_buffered` ignores its stream parameter","2026-03 (Croydon)","","","[#189878](https://github.com/llvm/llvm-project/issues/189878)",""
"[LWG4550](https://wg21.link/LWG4550)","Need new feature test macros for `<stdckdint.h>` and `<stdbit.h>`","2026-03 (Croydon)","","","[#189879](https://github.com/llvm/llvm-project/issues/189879)",""
"[LWG4552](https://wg21.link/LWG4552)","`compare_exchange_weak` writes a value on spurious failure, not memory contents","2026-03 (Croydon)","","","[#189880](https://github.com/llvm/llvm-project/issues/189880)",""
"[LWG4553](https://wg21.link/LWG4553)","Wording for FR-025-246 25.7.18.2 Add a `reserve_hint` function to `concat_view`","2026-03 (Croydon)","","","[#189881](https://github.com/llvm/llvm-project/issues/189881)",""
"[LWG4554](https://wg21.link/LWG4554)","Remove undefined behaviour from `hive` for invalid limits","2026-03 (Croydon)","","","[#189882](https://github.com/llvm/llvm-project/issues/189882)",""
"[LWG4555](https://wg21.link/LWG4555)","Remove `is_consteval_only`","2026-03 (Croydon)","","","[#189883](https://github.com/llvm/llvm-project/issues/189883)",""
"[LWG4556](https://wg21.link/LWG4556)","Unclear properties of reflection strings","2026-03 (Croydon)","","","[#189884](https://github.com/llvm/llvm-project/issues/189884)",""
"[LWG4557](https://wg21.link/LWG4557)","Remove `constexpr` from `owner_less` and `owner_before`","2026-03 (Croydon)","{{NothingToDo}}","","[#189885](https://github.com/llvm/llvm-project/issues/189885)",""
"","","","","","",""
"[LWG4139](https://wg21.link/LWG4139)","§[time.zone.leap] recursive constraint in `<=>`","Not Adopted Yet","{{Complete}}","20","[#118369](https://github.com/llvm/llvm-project/issues/118369)",""
"[LWG3456](https://wg21.link/LWG3456)","Pattern used by `std::from_chars` is underspecified (option B)","Not Adopted Yet","{{Complete}}","20","[#118370](https://github.com/llvm/llvm-project/issues/118370)",""
"[LWG3882](https://wg21.link/LWG3882)","`tuple` relational operators have confused friendships","Not Adopted Yet","{{Complete}}","22","[#171425](https://github.com/llvm/llvm-project/issues/171425)","The comparison operators are constrained harder than the proposed resolution."
"","","","","","",""
